Pair,Delta_Electrode1,Theta_Electrode1,Alpha_Electrode1,Beta_Electrode1,Gamma_Electrode1,Delta_Electrode2,Theta_Electrode2,Alpha_Electrode2,Beta_Electrode2,Gamma_Electrode2,Delta_Electrode3,Theta_Electrode3,Alpha_Electrode3,Beta_Electrode3,Gamma_Electrode3,Delta_Electrode4,Theta_Electrode4,Alpha_Electrode4,Beta_Electrode4,Gamma_Electrode4,Delta_Electrode5,Theta_Electrode5,Alpha_Electrode5,Beta_Electrode5,Gamma_Electrode5,Delta_Electrode6,Theta_Electrode6,Alpha_Electrode6,Beta_Electrode6,Gamma_Electrode6,Delta_Electrode7,Theta_Electrode7,Alpha_Electrode7,Beta_Electrode7,Gamma_Electrode7,Delta_Electrode8,Theta_Electrode8,Alpha_Electrode8,Beta_Electrode8,Gamma_Electrode8
pair 12,-0.0108326263602635,0.0194663526815473,-0.0088086733498314,0.0057601788449537,-0.0805896588768328,0.0049904164999618,0.0280810013758501,-0.0046172648644232,0.0107733797401147,-0.0880416816437277,-0.0270956262168444,-0.0033465969994785,0.0022271316880008,0.0173820619504292,-0.101126514442626,-0.0216510203563023,0.015123045507517,-0.0323021458547845,0.0160911378939788,-0.0908807759137035,-0.0089170913834671,0.0228386963458196,-0.0353006202699772,0.0117403040158447,-0.0946439642469776,0.0024754710558214,0.0302876793209625,-0.0162908294912758,0.0113204426070237,-0.104933022878023,-0.008914356982288,0.0135086732872872,-0.0226946078686236,0.0044772225774821,-0.0716190972980609,0.0025423285872633,0.0275648104267006,-0.0194424519686568,0.0003408490079803,-0.0815116480499022
pair 13,-0.0001312884697041,-0.0282436677907917,-0.0355790544479464,-0.0158576612117436,0.0459306682702193,0.005478522037003,-0.009006984857635,-0.0032335254970292,-0.0054519042485027,0.241014926436838,0.0823228156524713,0.0034151747286613,-0.0351980937360888,-0.0121215064136493,0.0976015996131378,0.0512252988404048,-0.0187586645330979,-0.0414681887794599,-0.0189543841294514,0.266090894665762,0.0301411197020959,-0.0286046016281576,-0.0433751548430229,-0.0161625354801874,0.431247081301938,0.0116166751197466,-0.01266920258128,-0.0196840171440475,-0.0128657321578368,0.218089671892791,0.0361795837482145,-0.0129605505732185,-0.0363974707727401,-0.0191691476576695,0.341149069605533,0.0264592895772192,-0.0006227154202671,-0.0229111421710393,-0.0143351096125066,0.0530563600531906
pair 14,0.0156038504350438,-0.0418686909613848,-0.0060379463004921,0.0032145621806691,0.277291734230404,0.0118564561878998,-0.0553265608644382,-0.0086821587705199,-0.0001763189364901,-0.0704284599152426,-0.0237853224476828,0.0442377368748079,-0.0201825013303254,-0.0112843922812632,-0.0868441033246031,-0.0048229625795549,-0.0371602712348601,-0.0015413184103378,-0.0052237930201374,0.0450183755100898,0.0355187973245706,-0.0396248631399969,-0.0032776335393608,-5.025817146429e-05,0.0071436603429468,0.0117365781810359,-0.0520769605229807,-0.0107150330417288,0.00101118235085,-0.104608365828122,0.0079898950562409,-0.0567371764262837,0.0009033061899922,4.34150805247971e-05,0.006458086927864,-0.0018291325016309,-0.0617992854119088,-0.0032958018536809,0.0050611761183802,0.0432404178781209
pair 15,-0.025170231903244,-0.0143810250129789,0.0398200694986094,-0.000977759439688,-0.546146372567782,0.0365398574798785,0.046553745478804,0.0355587250526793,-0.0005457683850721,-0.311591810927502,0.179221007198003,0.0347353087440728,0.0395333703033698,-0.0054129911537602,0.053859144634041,0.0330378382893367,0.0479575057562665,0.0510600698361693,-0.0011514266142701,0.249428047756458,0.0283177544060029,0.0471546268128833,0.0450742349810116,0.0014830428756352,0.30077938086242,0.0794627461561322,0.0478717603770438,0.0403893577438953,0.0067830663819202,0.317859137874822,0.0279772164266569,0.0175031981311019,0.0469781124599945,0.0124541282891129,-0.0315252867745545,0.107955777546714,0.0377422807173766,0.0413086576876255,0.0157778045994981,0.310116173236717
pair 16,0.131421605725602,-0.0076085647908144,-0.0309604869049559,-2.66390436171317e-05,-0.930103011819877,0.0359065398435674,0.0023747744953261,-0.0314501085705283,-0.0133105978568934,-0.925198891350921,0.229712695652912,0.0228435065031139,-0.0269766132941225,0.0214062638068255,-0.118289223806688,0.101065470797475,0.0164644591388495,-0.0138860089096608,0.0086785875085207,0.517147540481831,0.217986358639585,0.0274688504838517,-0.0213676448160592,0.0072064169722667,0.335296997478802,0.0942810804004834,0.0309935481103904,-0.0195348800354926,-0.0045021567780566,-0.964573891553321,0.0572401493223199,-0.001008384816158,-0.0435638435957475,0.0079425327738654,0.0234717145487738,0.0803781291776786,0.0176761095695017,-0.0286343562004571,0.005717047306133,0.378744259767592
pair 17,-0.0245508512130621,0.0084720803703154,-0.0214978746518266,-0.0011894670343802,0.0053237336730624,-0.0331390727202535,0.0102840638640768,-0.0179007282990191,0.0013809775473171,0.0049325338102279,-0.0196703628260545,0.0176481503989944,-0.0334186050855457,-0.0007922988077384,0.0031668363637952,-0.0183075038683974,0.0117164969990036,-0.0157666634044715,-0.0014044849239602,0.0030710114623573,-0.0229739325655742,0.0051275528509158,-0.0144820568455958,0.0005290987865308,0.0030360516124443,-0.031917933517381,0.00719456998368,0.0002218209751536,-0.0004768357303742,0.0018848546933894,-0.0189880555835888,0.0053159193823902,-0.01154271879251,-0.0005378744911197,0.0011531507695919,-0.0267881058799497,0.0009946361559146,0.0053441011147179,-0.0044582218090064,-0.0025392112015596
pair 18,0.0681452247919193,0.0263848847562491,-0.0507977380174824,0.0068065937175129,-0.0071848898141069,0.104863937914337,0.0268951190813334,-0.051866910818884,0.0027514937856949,-0.0091981797226328,0.0719957716517651,0.0330398853064479,-0.0435975862672049,0.0018821946273463,-0.0018358263784261,0.0583257850659658,0.0179383463368718,-0.0393263805664221,0.0053804886058581,0.003431140721693,0.0618501067930357,0.0302828757068639,-0.0451220614673195,0.004107616940661,0.0023618521841656,0.0662586140188774,0.0164896185849384,-0.0507742445051067,0.0023446253494451,0.003119536491868,0.0709680245675946,0.0373860789203325,-0.0430749139102829,0.0081411531201099,-0.0003807533884471,-0.0003762182248816,0.0064135252181885,-0.039829138313669,0.00844689774756,-0.0084409826708248
pair 19,-0.05725834373239,-0.0127417634417996,0.0051719847878144,-0.0172504310465052,-0.476742934237634,-0.0434179447772822,-0.0128856914521878,0.0091455367515296,-0.0157742844443294,-0.51090022246503,-0.0180542739735411,0.0803814869494817,0.0306932909734839,-0.01570738153206,-0.155436242124305,-0.0290625338763408,0.0129537093577928,0.0153033212411097,-0.0133395866578428,-0.419594926297371,-0.0106231976491921,-0.0063397772910304,0.0059642492503096,-0.0135085563189053,-0.50800743433338,-0.0151774958391563,-0.0191628000463871,0.0177615361608964,-0.0171595230399379,-0.377901074611958,-0.0200829157207653,-0.0044660119532312,0.0139963452925289,-0.0112834820865457,-0.400185409613542,0.0166037478570557,-0.0229617235478018,0.0001975455858452,-0.0106180817494703,-0.251814057325634
pair 20,0.0279743975771772,0.0489312182218054,0.0158018936878213,0.0052394693874636,-0.525081386376114,-0.0003522148620479,0.0256931523771435,0.0237123085578929,0.0013310939438186,0.918526459592797,0.0669078858906394,0.0709782457732856,0.0014922560075744,-0.0039142014194089,0.7041553055254,0.0394211759768137,0.0590586308111345,0.0100838410857547,0.0116520212479194,0.76094371907913,0.0535237455309559,0.0592534389424116,0.0169289472070778,0.0039487239529111,0.873236991167905,-0.0200125443516437,0.0322794414257038,0.0170345980643708,0.0031106166493321,0.960369265837259,0.0047723948763632,0.0573877171375876,0.0188354294507058,0.0068723050590262,0.829879865031271,-0.0103068599927644,0.0335844510911629,0.0262213069259127,0.0031373361451869,0.952744500914493
pair 21,0.0956691350076762,-0.0080714293581575,-0.0073237935493983,-0.0029619334333187,-0.421294210195145,0.0911944149408844,-0.001500853630242,0.0046204023396764,0.0007068460704559,-0.535195555514984,0.0285162646233801,0.0428877340298403,0.010096554501268,-0.0156106784789103,-0.629979411461047,0.0555597663550344,0.008710577594065,-0.0110515601884256,-0.0103223822905125,-0.507302778579589,0.0718577578481991,0.0028922549344555,0.001930212098656,-0.005742776751971,-0.648159881117708,0.0466467965695972,0.0190102934014317,0.0090824645512397,-0.0082465663453703,-0.608073955901581,0.0153238689634134,-0.0085631603633905,-0.0023623665904846,0.0075943493019339,-0.198480689757701,0.0304195480906153,-0.0004890348188346,0.0026368696249291,0.0084161346177765,-0.570802453763057
pair 22,0.0631313357434072,-0.0139983717298158,0.0225544125358894,-0.0031309514435531,-0.449468754547328,0.0477792107726084,0.0004425365244897,0.0030492062638322,0.002229094795784,-0.422338217475338,0.0610281987863689,0.0121665324475121,-0.0296104019589752,0.0084808379625161,-0.477453359699328,0.0567816593278234,0.0006082588723108,0.0053673409295921,0.0076514709542924,-0.449559528802381,0.0744201772224817,0.0044014317085235,0.0134488784048361,0.003475478873626,-0.507778335888162,0.0875264902210858,0.0038911343942913,-0.0042731878230379,0.0050909424350807,-0.430778592578342,0.106126528029681,0.0183831157992048,-0.0003216005222423,-0.0024001565853921,-0.54328486111508,0.120923977272175,0.0246528369313898,-0.004786900907415,0.0010442223454615,-0.438235710813273
pair 23,0.0067099020059513,-0.0025973375042903,-0.0218396380454049,-9.74258050714454e-05,0.485680998577685,0.0034949566186281,-0.0002379675738578,-0.0087534420533035,-0.001215835361394,0.496824079151207,0.0270850439651401,0.0009800105113614,-0.0265699011368616,-0.0146712296201548,0.281951327597084,-0.0005184049739614,-0.0183408805136812,-0.0292337211532427,-0.0109512120903725,0.482875085927924,-0.0148753241726174,-0.0191352534564764,-0.0197220841781992,-0.0051613592968265,0.505822015328014,-0.0010641582348962,0.0022219226619329,-0.0143272107347209,0.0004933341111837,0.547480932521904,-0.0212853063627646,0.0025675689550961,-0.0188286550287901,-0.0030733229471453,0.457899670887373,-0.0207918988234749,0.030709738049338,-0.0152257667325039,0.0005924334599404,0.482564271106177
pair 24,0.0942937707088765,0.0254164211938494,0.0195486616643337,-0.0022451819272504,0.870425727520582,0.0778945704447663,0.0172629840120489,0.0437521212701072,0.000171405801848,0.888405685411716,0.0419279108374599,0.0358338742605787,0.0452886977461427,0.0004689141241102,0.850171734962425,0.0788442816843603,0.0091939037009495,0.0162086501160303,0.0015264896836227,0.939754643054911,0.0756058703902937,0.0342320446316217,0.0200508004551342,-0.0068739570550097,0.910158592788753,0.067882736392448,0.0215559896442281,0.0450994426357545,-0.0054941885545488,0.908249657349345,0.0618795971756808,0.0244144214136111,0.031259193118661,-0.0023649131592746,0.951832772289094,0.0481928215423938,0.0255340764220815,0.0432211786471998,-0.003723684968452,0.898492717271344
pair 25,0.0289452722128272,-0.0095370337810118,-0.0137941843259389,0.0612880658731882,0.0207182466746313,0.0453362892420318,0.0006805662939328,0.00907550574911,0.0654244562443439,0.437632702177625,-0.0277947996485834,0.0504068202136039,-0.0304808285514756,0.0037028304156218,0.415386818556117,-0.0044913593169212,0.0211498040489007,0.0097814549198031,0.0396027192723876,0.377300790504228,0.0141789040634172,0.0010621236325605,-0.0064734917539961,0.0615086866640845,0.504843492250618,0.0250800828791088,-0.0005636094965807,-6.4039467519711e-05,0.0701004088357289,0.637631477654814,-0.0034725200862717,-0.006461294753865,0.0225787609109833,0.0484672763475246,0.288931176170766,0.0223088195585461,-0.0005712758764157,-0.0031542171639,0.0555880033341624,0.608059657550268
pair 26,0.0098531020133415,0.0059423460587763,-0.0097407513899445,0.0074240385953461,0.841777490568431,-0.048860234983039,-0.0080718713103672,-0.0018845416374041,0.013394319524457,0.86597558183976,0.0585136905897273,-0.0079256490611491,-0.0120637139991502,-0.0134353513144777,0.763741197729067,0.0327763771165787,0.007734297929104,-0.0331318310647177,-0.0123324129917714,0.852935882586665,0.0353809553371311,0.010102960821846,-0.0311332180384209,0.0025631088460784,0.873470777769856,-0.0089255765033545,-0.0079894539113571,-0.0120926031136766,0.0034156669496064,0.895267994164683,0.0297062370031361,0.0079547628848602,-0.0508831473724404,0.0009671621776824,0.853715001650456,0.0112524103271704,-0.0055582742502836,-0.0289330696429799,0.0064651174976771,0.83227822413289
pair 27,0.007580131021048,-0.0014247613337491,0.0311076201320842,-0.019427137544613,-0.0037319574316707,0.0267845696321082,-0.0126517171990286,0.0260202196743327,-0.0196752666165623,0.0860433221475118,-0.0036100008436073,0.0093695867543048,0.0335588016009892,-0.0144407550652696,0.0868792509788702,0.0195137981561291,-0.0039568511978911,0.0275967801462164,-0.0212323694030738,-0.0614538904244237,0.0108079774958938,0.0163616978779125,0.0330681700582488,-0.0195909776356171,0.0353093548412394,0.0214590867194318,-0.0042029031924164,0.0201577469066861,-0.0253674199866224,0.307829279153683,0.0105376691590997,0.0130273681496753,0.0445371410572001,-0.0288661999162761,0.144751429579666,0.0107397116550925,0.010428652995006,0.0277264761224709,-0.0264140964992903,0.273199447502586
pair 28,0.0830929638216093,0.0235062251693391,0.0336237659795378,0.020059116714602,0.146625576517229,0.0866198724700385,0.0278780503381605,0.0237084779869767,0.0242574844070892,0.465260223397089,0.0973609634698432,-0.0173670828196553,-0.0119103641183575,0.0191555263512499,0.282345336362569,0.0682403478587758,0.0031487883018608,0.0096042953744795,0.0227470196094483,0.540717809660715,0.0761678316222016,0.016205960398926,0.0008687607719776,0.0237745190726401,0.50987584230592,0.0667636282457655,0.0185501471836272,0.0037421330552699,0.022981806166656,0.324706587184053,0.0482870679846637,0.012036114388296,-0.00487054881917,0.0140037866511202,0.24680241305366,0.042586377515887,0.0074358541390995,-0.0151423774180602,0.0219431147764468,0.568540375528146
pair 29,0.0382024715984673,-0.0025129548725345,0.0085156307957099,0.0252860909721846,0.711076458203635,0.0051743629656734,-0.0196800886550802,-0.0176223971794249,0.0188550980695621,0.826520292197125,0.0124972456513306,0.0010916533851001,0.0475798287071611,0.0340482197644148,0.816959981744744,0.0357843920803174,-0.0109178846070649,0.0285510235650266,0.030424550188415,0.647248390945185,0.0328877063823795,-0.0187834562915853,0.0120209861376049,0.0236846577007044,0.813640968481029,0.0337585153057359,-0.0281038053351559,-0.009568481781841,0.0228870643056055,0.855901732713557,0.0540620911454642,-0.032971503397644,0.0111424855756227,0.0141936044526228,0.773390261808288,0.066660953573899,-0.0438446944511728,-0.0179167707866078,0.0204452396637198,0.806815550746212
